"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
4.499281925E1,6.506990853E1,2.542262270E1,2.103120851E1,1.299999952E0,3.471000061E2,3.790092468E0,2.500000000E0
4.599323019E1,6.506992201E1,2.542261556E1,2.097089926E1,1.460000038E0,3.455000000E2,3.790092468E0,2.500000000E0
4.699268972E1,6.506993468E1,2.542261016E1,2.092481175E1,1.350000024E0,3.500000000E2,3.790092468E0,2.515704870E0
4.799302806E1,6.506994813E1,2.542260442E1,2.117541577E1,1.350000024E0,3.520000000E2,3.790092468E0,2.547556400E0
4.899235920E1,6.506996228E1,2.542259634E1,2.122387077E1,1.450000048E0,3.477000122E2,3.790092468E0,2.500000000E0
4.999280998E1,6.506997455E1,2.542259229E1,2.125303994E1,1.340000033E0,3.521000061E2,3.790092468E0,2.500000000E0
5.099232748E1,6.506998797E1,2.542258664E1,2.126206683E1,1.389999986E0,3.506000061E2,3.790092468E0,2.500000000E0
5.199246410E1,6.507000121E1,2.542257856E1,2.089884009E1,1.409999967E0,3.500000000E2,3.790092468E0,2.500000000E0
5.299301488E1,6.507001465E1,2.542257279E1,2.082498122E1,1.399999976E0,3.502999878E2,3.790092468E0,2.500000000E0
5.399289878E1,6.507003056E1,2.542256527E1,2.130525928E1,1.529999971E0,3.531000061E2,3.790092468E0,2.500000000E0
5.499335920E1,6.507004431E1,2.542256159E1,2.145509437E1,1.389999986E0,3.557999878E2,3.790092468E0,2.500000000E0
5.599277055E1,6.507005834E1,2.542255518E1,2.188929182E1,1.440000057E0,3.527000122E2,3.790092468E0,2.500000000E0
5.699315123E1,6.507007223E1,2.542254737E1,2.150708290E1,1.519999981E0,3.511000061E2,3.790092468E0,2.500000000E0
5.799253560E1,6.507008652E1,2.542254223E1,2.165380480E1,1.440000057E0,3.548999939E2,3.790092468E0,2.500000000E0
5.899308258E1,6.507010096E1,2.542254698E1,2.194383836E1,1.539999962E0,3.000000000E0,3.790092468E0,2.500000000E0
5.999302758E1,6.507011375E1,2.542255019E1,2.221696570E1,1.309999943E0,6.999999881E-1,3.790092468E0,2.500000000E0
6.099336050E1,6.507012619E1,2.542255169E1,2.222214864E1,1.399999976E0,3.570000000E2,3.790092468E0,2.500000000E0
6.199239748E1,6.507013672E1,2.542256487E1,2.235245586E1,1.330000043E0,1.710000038E1,3.790092468E0,2.500000000E0
