"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.104351050E-1,8.962960243E-1,-5.749416724E-2,-1.608915329E-1
3.152276050E-1,8.669764996E-1,-1.713361777E-2,-3.050441742E-1
3.200201050E-1,8.194425106E-1,3.676151857E-3,-4.560747147E-1
3.248126570E-1,8.062372208E-1,5.474345013E-2,-5.334892273E-1
3.296051570E-1,7.137672901E-1,1.191387028E-1,-5.901269913E-1
3.343976570E-1,6.423866749E-1,1.966632307E-1,-5.624208450E-1
3.391901570E-1,6.147091389E-1,2.590361536E-1,-3.618841171E-1
3.439826570E-1,6.687049866E-1,2.780819535E-1,1.246547699E-1
3.487751570E-1,7.923545837E-1,2.662813067E-1,6.853952408E-1
3.535676570E-1,1.030974865E0,2.359587252E-1,1.002580643E0
3.583601570E-1,2.104451418E0,-1.344287395E-2,1.480572701E0
3.631526570E-1,1.879130125E0,-1.009088457E-1,1.435138702E0
3.679451570E-1,1.628205419E0,-2.456239462E-1,5.901823044E-1
3.727376570E-1,1.484354615E0,-3.359532952E-1,1.001825333E-1
3.775301570E-1,1.243678808E0,-3.494638801E-1,-1.405849457E-1
3.823226570E-1,1.091687322E0,-2.810063362E-1,-2.037563324E-1
3.871151570E-1,8.737505674E-1,-1.092179418E-1,-1.766490936E-1
3.919076570E-1,5.792375803E-1,5.670285225E-2,-7.931804657E-2
3.967001570E-1,3.136897087E-1,1.987822652E-1,5.894184113E-2
4.014927090E-1,3.031754494E-2,3.208274245E-1,2.044878006E-1
4.062852090E-1,-2.345461845E-1,4.790968895E-1,3.476753235E-1
4.110777090E-1,-4.786679745E-1,6.536350846E-1,5.238199234E-1
4.158702090E-1,-7.670900822E-1,6.856702566E-1,6.659317017E-1
4.206627090E-1,-7.791578770E-1,5.910323262E-1,9.490919113E-1
4.254552090E-1,-8.438429832E-1,5.441600084E-1,1.165433884E0
4.302477090E-1,-7.826292515E-1,4.193097949E-1,1.402826309E0
4.350402090E-1,-7.428896427E-1,2.362843752E-1,1.573070526E0
4.398327090E-1,-6.588492393E-1,2.371548414E-1,1.697980881E0
4.446252090E-1,-5.187728405E-1,1.757833958E-1,1.733029366E0
4.494177090E-1,-4.528698921E-1,3.030899763E-1,1.852090836E0
4.542102090E-1,-3.765542507E-1,3.978927732E-1,2.182350159E0
4.590027090E-1,-3.959586620E-1,6.036218405E-1,2.532179832E0
4.637952090E-1,-3.128144741E-1,6.458072662E-1,2.700033188E0
4.685877090E-1,-1.588848829E-1,6.016229987E-1,2.687676430E0
4.733802090E-1,-1.242841482E-1,5.432099700E-1,2.459006310E0
4.781727610E-1,-3.702604771E-2,3.647651672E-1,2.020955086E0
4.829652090E-1,1.264548302E-2,1.537083387E-1,1.529771805E0
4.877577610E-1,-6.887698174E-2,-6.058263779E-2,1.159303665E0
4.925502610E-1,-1.011302471E-1,-2.300696373E-1,8.044891357E-1
4.973427610E-1,-7.087278366E-2,-4.632738829E-1,3.873796463E-1
5.021352610E-1,-1.140159369E-1,-6.089863777E-1,-7.912349701E-2
5.069277610E-1,-8.561313152E-2,-8.209154010E-1,-5.823011398E-1
5.117202610E-1,-6.815612316E-2,-9.859555960E-1,-1.002982140E0
5.165127610E-1,-1.201274395E-1,-1.136998892E0,-1.284759521E0
5.213052610E-1,-1.103348732E-1,-1.240269780E0,-1.447683334E0
5.260977610E-1,-1.182429790E-1,-1.336107612E0,-1.469017982E0
5.308902610E-1,-8.649170399E-2,-1.403135061E0,-1.186466217E0
5.356827610E-1,6.160163879E-2,-1.472200632E0,-7.383213043E-1
5.404752610E-1,2.562798262E-1,-1.583134055E0,-2.050476074E-1
5.452677610E-1,4.072858095E-1,-1.689859986E0,3.121376038E-1
5.500602610E-1,5.562881231E-1,-1.784469724E0,8.196744919E-1
5.548527610E-1,7.058376074E-1,-1.823522806E0,1.205529213E0
5.596452610E-1,7.819271088E-1,-1.764181972E0,1.382638931E0
5.644377610E-1,7.953947783E-1,-1.621150613E0,1.305230141E0
5.692302610E-1,7.576550245E-1,-1.435298681E0,1.075216293E0
5.740228130E-1,7.420922518E-1,-1.164507508E0,7.273149490E-1
5.788153130E-1,6.596555710E-1,-8.715286255E-1,3.053903580E-1
5.836078130E-1,4.477889538E-1,-6.066480875E-1,-1.874570847E-1
5.884003130E-1,1.573711634E-1,-4.243989885E-1,-6.058931351E-1
5.931928130E-1,2.319580317E-1,-2.719296813E-1,-8.961334229E-1
5.979853130E-1,7.254636288E-2,-2.536031902E-1,-1.287190437E0
6.027778130E-1,-1.516081095E-1,-3.020926714E-1,-1.664087296E0
6.075703130E-1,-2.719388008E-1,-3.625064492E-1,-2.024230003E0
6.123628130E-1,-4.418516159E-1,-4.135765731E-1,-2.329440594E0
6.171553130E-1,-5.790393353E-1,-4.676433802E-1,-2.401766300E0
6.219478130E-1,-8.046604395E-1,-5.275518894E-1,-2.311734676E0
6.267403130E-1,-7.290675640E-1,-6.032001972E-1,-2.046338081E0
6.315328130E-1,-5.380021334E-1,-6.758241057E-1,-1.713803291E0
6.363253130E-1,-4.419054985E-1,-7.601658702E-1,-1.345511436E0
6.411178660E-1,-4.024130106E-1,-8.446294665E-1,-1.034352303E0
